file_id,biosample_type,tissue,assay,strand,experiment_target,specie,dataset
SRX20249461,tissue,Leaf (17 days),TF ChIP-seq,,JMJ20,glycine_max,ncbi_chrom_acc
SRX20249462,tissue,Leaf (17 days),TF ChIP-seq,,FLAG,glycine_max,ncbi_chrom_acc
SRX21859141,tissue,Seed (60 days),Histone ChIP-seq,,H3K27me3,glycine_max,ncbi_chrom_acc
SRX21859142,tissue,Seed (60 days),Histone ChIP-seq,,H3K27me3,glycine_max,ncbi_chrom_acc
SRX21859143,tissue,Seed (60 days),Histone ChIP-seq,,H3K4me3,glycine_max,ncbi_chrom_acc
SRX21859144,tissue,Seed (60 days),Histone ChIP-seq,,H3K4me3,glycine_max,ncbi_chrom_acc
SRX25147800,tissue,Leaf,ATAC-seq,,none,glycine_max,ncbi_chrom_acc
SRX8986041,tissue,Leaf,Histone ChIP-seq,,H3K14ac,glycine_max,ncbi_chrom_acc
SRX8986043,tissue,Leaf,Histone ChIP-seq,,H3K14ac,glycine_max,ncbi_chrom_acc
SRX8986044,tissue,Leaf,Histone ChIP-seq,,H3K27ac,glycine_max,ncbi_chrom_acc
SRX8986045,tissue,Leaf,Histone ChIP-seq,,H3K27ac,glycine_max,ncbi_chrom_acc
SRX8986046,tissue,Leaf,Histone ChIP-seq,,H4K12ac,glycine_max,ncbi_chrom_acc
SRX8986047,tissue,Leaf,Histone ChIP-seq,,H4K12ac,glycine_max,ncbi_chrom_acc
SRX9446569,tissue,Leaf,Histone ChIP-seq,,H3K56ac,glycine_max,ncbi_chrom_acc
DRX160305,tissue,main stem,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
DRX160306,tissue,main stem,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
DRX401636,tissue,lateral root,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
DRX655694,tissue,Above ground part excluding roots,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
DRX655698,tissue,Above ground part excluding roots,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
DRX655701,tissue,Above ground part excluding roots,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
DRX655705,tissue,Above ground part excluding roots,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
DRX655707,tissue,Above ground part excluding roots,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
DRX655709,tissue,Above ground part excluding roots,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX7205055,tissue,mature trifoliate leaf,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX7205053,tissue,mature trifoliate leaf,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX7214589,tissue,root,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX7214586,tissue,root,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX7214583,tissue,root,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX7214578,tissue,root,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX7519616,tissue,root,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX7519613,tissue,root,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX7519610,tissue,root,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX7737542,tissue,soybean 28-day nodule,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX7737540,tissue,soybean 28-day nodule,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX8186502,tissue,Root,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX8186501,tissue,Root,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX8186802,tissue,Nodule,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX8186799,tissue,Stripped root,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX8201438,tissue,leaf,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
SRX8201433,tissue,leaf,RNA-seq,,RNA-seq,glycine_max,ncbi_rnaseq
