tissue,m1,m2,delta,n_within,pair
CL:0000236,DNase-seq,ChIP-seq:H3K27ac,0.15299139086997782,6.0,ChIP-seq:H3K27ac x DNase-seq
CL:0000236,DNase-seq,ChIP-seq:H3K27me3,-0.06667818283212597,9.0,ChIP-seq:H3K27me3 x DNase-seq
CL:0000236,DNase-seq,ChIP-seq:H3K36me3,-0.0395800772482756,6.0,ChIP-seq:H3K36me3 x DNase-seq
CL:0000236,DNase-seq,ChIP-seq:H3K4me1,-0.017403996843023593,6.0,ChIP-seq:H3K4me1 x DNase-seq
CL:0000236,DNase-seq,ChIP-seq:H3K4me3,0.08570262508572271,12.0,ChIP-seq:H3K4me3 x DNase-seq
CL:0000236,DNase-seq,ChIP-seq:H3K9ac,0.11954669634501139,3.0,ChIP-seq:H3K9ac x DNase-seq
CL:0000236,DNase-seq,ChIP-seq:H3K9me3,-0.008252043551422387,9.0,ChIP-seq:H3K9me3 x DNase-seq
CL:0000236,DNase-seq,ChIP-seq:CTCF,0.10693488930756193,3.0,ChIP-seq:CTCF x DNase-seq
CL:0000236,DNase-seq,polyA plus RNA-seq,0.035226074386292,6.0,DNase-seq x polyA plus RNA-seq
CL:0000236,ChIP-seq:H3K27ac,DNase-seq,0.18809089765376208,6.0,ChIP-seq:H3K27ac x DNase-seq
CL:0000236,ChIP-seq:H3K27ac,ChIP-seq:H3K27me3,0.006272230511424184,6.0,ChIP-seq:H3K27ac x ChIP-seq:H3K27me3
CL:0000236,ChIP-seq:H3K27ac,ChIP-seq:H3K36me3,0.01426702112984405,4.0,ChIP-seq:H3K27ac x ChIP-seq:H3K36me3
CL:0000236,ChIP-seq:H3K27ac,ChIP-seq:H3K4me1,0.0644357335127768,4.0,ChIP-seq:H3K27ac x ChIP-seq:H3K4me1
CL:0000236,ChIP-seq:H3K27ac,ChIP-seq:H3K4me3,0.1993499589416216,8.0,ChIP-seq:H3K27ac x ChIP-seq:H3K4me3
CL:0000236,ChIP-seq:H3K27ac,ChIP-seq:H3K9ac,0.2086288547515869,2.0,ChIP-seq:H3K27ac x ChIP-seq:H3K9ac
CL:0000236,ChIP-seq:H3K27ac,ChIP-seq:H3K9me3,0.006459696685776729,6.0,ChIP-seq:H3K27ac x ChIP-seq:H3K9me3
CL:0000236,ChIP-seq:H3K27ac,ChIP-seq:CTCF,0.02444601515835186,2.0,ChIP-seq:CTCF x ChIP-seq:H3K27ac
CL:0000236,ChIP-seq:H3K27ac,polyA plus RNA-seq,0.03248717605982264,4.0,ChIP-seq:H3K27ac x polyA plus RNA-seq
CL:0000236,ChIP-seq:H3K27me3,DNase-seq,-0.06136960484260737,9.0,ChIP-seq:H3K27me3 x DNase-seq
CL:0000236,ChIP-seq:H3K27me3,ChIP-seq:H3K27ac,0.020754232694150002,6.0,ChIP-seq:H3K27ac x ChIP-seq:H3K27me3
CL:0000236,ChIP-seq:H3K27me3,ChIP-seq:H3K36me3,0.04045440248711399,6.0,ChIP-seq:H3K27me3 x ChIP-seq:H3K36me3
CL:0000236,ChIP-seq:H3K27me3,ChIP-seq:H3K4me1,0.13954464768234282,6.0,ChIP-seq:H3K27me3 x ChIP-seq:H3K4me1
CL:0000236,ChIP-seq:H3K27me3,ChIP-seq:H3K4me3,-0.01933636947435403,12.0,ChIP-seq:H3K27me3 x ChIP-seq:H3K4me3
CL:0000236,ChIP-seq:H3K27me3,ChIP-seq:H3K9ac,0.014871359070142108,3.0,ChIP-seq:H3K27me3 x ChIP-seq:H3K9ac
CL:0000236,ChIP-seq:H3K27me3,ChIP-seq:H3K9me3,0.12807872381698476,9.0,ChIP-seq:H3K27me3 x ChIP-seq:H3K9me3
CL:0000236,ChIP-seq:H3K27me3,ChIP-seq:CTCF,0.004558677849529675,3.0,ChIP-seq:CTCF x ChIP-seq:H3K27me3
CL:0000236,ChIP-seq:H3K27me3,polyA plus RNA-seq,-0.014718385984357926,6.0,ChIP-seq:H3K27me3 x polyA plus RNA-seq
CL:0000236,ChIP-seq:H3K36me3,DNase-seq,-0.049225575779143535,6.0,ChIP-seq:H3K36me3 x DNase-seq
CL:0000236,ChIP-seq:H3K36me3,ChIP-seq:H3K27ac,-0.009433487580614804,4.0,ChIP-seq:H3K27ac x ChIP-seq:H3K36me3
