tissue,m1,m2,delta,n_within,pair
EFO:0002095,ChIP-seq:H3K27ac,ChIP-seq:CTCF,0.04449282928231013,4.0,ChIP-seq:CTCF x ChIP-seq:H3K27ac
EFO:0002095,ChIP-seq:CTCF,ChIP-seq:H3K27ac,0.0436706418346931,4.0,ChIP-seq:CTCF x ChIP-seq:H3K27ac
EFO:0002101,DNase-seq,RNA-seq,0.016105825179501584,2.0,DNase-seq x RNA-seq
EFO:0002101,RNA-seq,DNase-seq,0.009211568772291937,2.0,DNase-seq x RNA-seq
EFO:0001086,ChIP-seq:H3K27ac,ChIP-seq:CTCF,0.021472445461485124,6.0,ChIP-seq:CTCF x ChIP-seq:H3K27ac
EFO:0001086,ChIP-seq:H3K27ac,DNase-seq,0.1400635292550095,2.0,ChIP-seq:H3K27ac x DNase-seq
EFO:0001086,ChIP-seq:H3K27ac,ChIP-seq:H2AFZ,0.1753184673461047,2.0,ChIP-seq:H2AFZ x ChIP-seq:H3K27ac
EFO:0001086,ChIP-seq:H3K27ac,ChIP-seq:H3K27me3,-0.048918853264029435,2.0,ChIP-seq:H3K27ac x ChIP-seq:H3K27me3
EFO:0001086,ChIP-seq:H3K27ac,ChIP-seq:H3K4me1,0.13898644040501307,2.0,ChIP-seq:H3K27ac x ChIP-seq:H3K4me1
EFO:0001086,ChIP-seq:H3K27ac,ChIP-seq:H3K4me2,0.4218343328206967,2.0,ChIP-seq:H3K27ac x ChIP-seq:H3K4me2
EFO:0001086,ChIP-seq:H3K27ac,ChIP-seq:H3K4me3,0.3697199394908576,6.0,ChIP-seq:H3K27ac x ChIP-seq:H3K4me3
EFO:0001086,ChIP-seq:H3K27ac,ChIP-seq:H3K79me2,0.13484739065170287,2.0,ChIP-seq:H3K27ac x ChIP-seq:H3K79me2
EFO:0001086,ChIP-seq:H3K27ac,ChIP-seq:H3K9ac,0.6520049725809405,2.0,ChIP-seq:H3K27ac x ChIP-seq:H3K9ac
EFO:0001086,ChIP-seq:H3K27ac,ChIP-seq:H3K9me3,-0.045280929888641484,2.0,ChIP-seq:H3K27ac x ChIP-seq:H3K9me3
EFO:0001086,ChIP-seq:H3K27ac,ChIP-seq:H4K20me1,-0.08470308163336346,2.0,ChIP-seq:H3K27ac x ChIP-seq:H4K20me1
EFO:0001086,ChIP-seq:H3K27ac,ChIP-seq:GABPA,0.08181751722639258,2.0,ChIP-seq:GABPA x ChIP-seq:H3K27ac
EFO:0001086,ChIP-seq:H3K27ac,ChIP-seq:JUND,0.1258049217554239,2.0,ChIP-seq:H3K27ac x ChIP-seq:JUND
EFO:0001086,ChIP-seq:H3K27ac,ChIP-seq:MYC,0.10591482818126678,2.0,ChIP-seq:H3K27ac x ChIP-seq:MYC
EFO:0001086,ChIP-seq:H3K27ac,ChIP-seq:POLR2A,0.19449650080173048,4.0,ChIP-seq:H3K27ac x ChIP-seq:POLR2A
EFO:0001086,ChIP-seq:H3K27ac,ChIP-seq:RAD21,0.04447136246241056,2.0,ChIP-seq:H3K27ac x ChIP-seq:RAD21
EFO:0001086,ChIP-seq:H3K27ac,ChIP-seq:REST,0.1229107285800733,4.0,ChIP-seq:H3K27ac x ChIP-seq:REST
EFO:0001086,ChIP-seq:H3K27ac,ChIP-seq:TAF1,0.1578636050224304,2.0,ChIP-seq:H3K27ac x ChIP-seq:TAF1
EFO:0001086,ChIP-seq:H3K27ac,ChIP-seq:YY1,0.1367181379061479,2.0,ChIP-seq:H3K27ac x ChIP-seq:YY1
EFO:0001086,ChIP-seq:H3K27ac,polyA plus RNA-seq,0.048506217020930664,16.0,ChIP-seq:H3K27ac x polyA plus RNA-seq
EFO:0001086,ChIP-seq:CTCF,ChIP-seq:H3K27ac,0.022236989529856296,6.0,ChIP-seq:CTCF x ChIP-seq:H3K27ac
EFO:0001086,ChIP-seq:CTCF,DNase-seq,0.03306612230482556,3.0,ChIP-seq:CTCF x DNase-seq
EFO:0001086,ChIP-seq:CTCF,ChIP-seq:H2AFZ,0.048369087956168434,3.0,ChIP-seq:CTCF x ChIP-seq:H2AFZ
EFO:0001086,ChIP-seq:CTCF,ChIP-seq:H3K27me3,0.0025048542434607073,3.0,ChIP-seq:CTCF x ChIP-seq:H3K27me3
EFO:0001086,ChIP-seq:CTCF,ChIP-seq:H3K4me1,0.01883915311129636,3.0,ChIP-seq:CTCF x ChIP-seq:H3K4me1
EFO:0001086,ChIP-seq:CTCF,ChIP-seq:H3K4me2,0.042682554477300405,3.0,ChIP-seq:CTCF x ChIP-seq:H3K4me2
EFO:0001086,ChIP-seq:CTCF,ChIP-seq:H3K4me3,0.0386607624936874,9.0,ChIP-seq:CTCF x ChIP-seq:H3K4me3
EFO:0001086,ChIP-seq:CTCF,ChIP-seq:H3K79me2,-0.00398445562237785,3.0,ChIP-seq:CTCF x ChIP-seq:H3K79me2
EFO:0001086,ChIP-seq:CTCF,ChIP-seq:H3K9ac,0.027891027884671335,3.0,ChIP-seq:CTCF x ChIP-seq:H3K9ac
EFO:0001086,ChIP-seq:CTCF,ChIP-seq:H3K9me3,0.017053654991516343,3.0,ChIP-seq:CTCF x ChIP-seq:H3K9me3
EFO:0001086,ChIP-seq:CTCF,ChIP-seq:H4K20me1,0.02736969036715371,3.0,ChIP-seq:CTCF x ChIP-seq:H4K20me1
EFO:0001086,ChIP-seq:CTCF,ChIP-seq:GABPA,0.003562144257805565,3.0,ChIP-seq:CTCF x ChIP-seq:GABPA
EFO:0001086,ChIP-seq:CTCF,ChIP-seq:JUND,0.06968647241592406,3.0,ChIP-seq:CTCF x ChIP-seq:JUND
EFO:0001086,ChIP-seq:CTCF,ChIP-seq:MYC,0.1217402696609497,3.0,ChIP-seq:CTCF x ChIP-seq:MYC
EFO:0001086,ChIP-seq:CTCF,ChIP-seq:POLR2A,0.015796248659943085,6.0,ChIP-seq:CTCF x ChIP-seq:POLR2A
EFO:0001086,ChIP-seq:CTCF,ChIP-seq:RAD21,0.12471173054132706,3.0,ChIP-seq:CTCF x ChIP-seq:RAD21
EFO:0001086,ChIP-seq:CTCF,ChIP-seq:REST,0.024154018414647954,6.0,ChIP-seq:CTCF x ChIP-seq:REST
EFO:0001086,ChIP-seq:CTCF,ChIP-seq:TAF1,0.0019935210545857646,3.0,ChIP-seq:CTCF x ChIP-seq:TAF1
EFO:0001086,ChIP-seq:CTCF,ChIP-seq:YY1,0.05728279245205414,3.0,ChIP-seq:CTCF x ChIP-seq:YY1
EFO:0001086,ChIP-seq:CTCF,polyA plus RNA-seq,0.006305045137802761,24.0,ChIP-seq:CTCF x polyA plus RNA-seq
EFO:0001086,DNase-seq,ChIP-seq:H3K27ac,0.16235706250229223,2.0,ChIP-seq:H3K27ac x DNase-seq
EFO:0001086,DNase-seq,ChIP-seq:CTCF,0.045289493931664364,3.0,ChIP-seq:CTCF x DNase-seq
