assay_family,modality,tracks,biosamples
CAGE,CAGE,1276,0
ChIP-seq,ChIP-seq:H3K4me3,321,188
ChIP-seq,ChIP-seq:H3K36me3,266,160
ChIP-seq,ChIP-seq:H3K27me3,257,153
ChIP-seq,ChIP-seq:H3K4me1,255,151
ChIP-seq,ChIP-seq:H3K9me3,249,147
ChIP-seq,ChIP-seq:H3K27ac,225,148
ChIP-seq,ChIP-seq:CTCF,201,122
ChIP-seq,ChIP-seq:H3K9ac,94,74
ChIP-seq,ChIP-seq:POLR2A,85,37
ChIP-seq,ChIP-seq:H2AFZ,45,44
ChIP-seq,ChIP-seq:POLR2AphosphoS5,45,27
ChIP-seq,ChIP-seq:H3K4me2,40,40
ChIP-seq,ChIP-seq:H3K79me2,36,35
ChIP-seq,ChIP-seq:H4K20me1,36,36
ChIP-seq,ChIP-seq:EP300,27,15
ChIP-seq,ChIP-seq:REST,21,13
ChIP-seq,ChIP-seq:EZH2,18,18
ChIP-seq,ChIP-seq:H3F3A,16,16
ChIP-seq,ChIP-seq:H3K9me2,16,16
ChIP-seq,ChIP-seq:EZH2phosphoT487,14,14
ChIP-seq,ChIP-seq:JUND,14,10
ChIP-seq,ChIP-seq:RAD21,14,9
ChIP-seq,ChIP-seq:YY1,14,11
ChIP-seq,ChIP-seq:GABPA,12,9
ChIP-seq,ChIP-seq:FOXA1,11,7
ChIP-seq,ChIP-seq:MYC,11,5
ChIP-seq,ChIP-seq:TAF1,11,11
ChIP-seq,ChIP-seq:NR3C1,10,3
ChIP-seq,ChIP-seq:SIN3A,10,7
ChIP-seq,ChIP-seq:HDAC2,9,5
ChIP-seq,ChIP-seq:MAFK,9,8
ChIP-seq,ChIP-seq:SP1,9,7
ChIP-seq,ChIP-seq:ZNF24,9,5
ChIP-seq,ChIP-seq:ATF3,8,5
ChIP-seq,ChIP-seq:GTF2F1,8,5
ChIP-seq,ChIP-seq:H3K23ac,8,7
ChIP-seq,ChIP-seq:H3K4ac,8,7
ChIP-seq,ChIP-seq:H3K79me1,8,7
ChIP-seq,ChIP-seq:H4K8ac,8,6
ChIP-seq,ChIP-seq:JUN,8,4
ChIP-seq,ChIP-seq:NRF1,8,5
ChIP-seq,ChIP-seq:TCF12,8,5
ChIP-seq,ChIP-seq:ZBTB33,8,6
ChIP-seq,ChIP-seq:BHLHE40,7,5
ChIP-seq,ChIP-seq:CEBPB,7,5
ChIP-seq,ChIP-seq:EGR1,7,4
