modality_pair,delta,n_cells,n_within_pairs,frac_positive
RNA-seq | polyA plus RNA-seq,0.17496446859753925,10,173,1.0
polyA plus RNA-seq | total RNA-seq,0.14165821275923415,51,2897,1.0
RNA-seq | total RNA-seq,0.12749890935934782,10,200,1.0
ATAC-seq | DNase-seq,0.10298737791092923,3,4,1.0
DNase-seq | TF ChIP-seq,0.06449043961547672,71,3499,0.9014084507042254
ATAC-seq | polyA plus RNA-seq,0.04766384603036848,1,1,1.0
Histone ChIP-seq | TF ChIP-seq,0.042547016219791935,105,20632,0.8761904761904762
ATAC-seq | CAGE,0.022540692989859293,1,2,1.0
Histone ChIP-seq | total RNA-seq,0.01886106391907924,86,6632,0.8604651162790697
Histone ChIP-seq | RNA-seq,0.016795367190014253,11,442,0.7272727272727273
ATAC-seq | total RNA-seq,0.016385353966081782,1,2,1.0
DNase-seq | total RNA-seq,0.015344563998709548,81,1756,0.8395061728395061
RNA-seq | TF ChIP-seq,0.013888831049658521,7,218,1.0
CAGE | polyA plus RNA-seq,0.013643512581501902,2,10,1.0
Histone ChIP-seq | polyA plus RNA-seq,0.011298368600242296,84,6432,0.7380952380952381
DNase-seq | polyA plus RNA-seq,0.00986751818861847,80,2214,0.725
DNase-seq | RNA-seq,0.00897760333853162,11,224,0.5454545454545454
TF ChIP-seq | polyA plus RNA-seq,0.007199237785276787,42,18029,0.6666666666666666
TF ChIP-seq | total RNA-seq,0.007095859351374436,62,34257,0.6612903225806451
ATAC-seq | TF ChIP-seq,0.006976577804182343,2,4,0.5
ATAC-seq | Histone ChIP-seq,0.006484980522843853,2,18,1.0
CAGE | DNase-seq,0.006310451702993783,3,8,0.6666666666666666
DNase-seq | Histone ChIP-seq,0.005324676006532438,99,4661,0.5050505050505051
CAGE | total RNA-seq,0.0024089555925518747,4,20,0.75
CAGE | Histone ChIP-seq,-0.0051577278773187836,4,84,0.25
CAGE | TF ChIP-seq,-0.01746073876041211,2,10,0.0
