modality_pair,tissue,within_mean,between_mean,delta,n_within,n_between,within_var,between_var
Accessibility | CAGE,hepatocyte,0.1004871353507042,0.09408394772381069,0.0064031876268935,6,5426,0.00044224840407290113,0.0006480163890233079
Accessibility | CAGE,mammary epithelial cell,0.11403023451566696,0.09765988537598347,0.016370349139683493,2,2882,1.1183577663997912e-05,0.0003152593462105828
Accessibility | CAGE,osteoblast,0.09363109990954399,0.09426170773157885,-0.0006306078220348621,2,2882,2.536069730087187e-05,0.00034646692021635464
Accessibility | HistoneChIP,a549,0.1086802480993076,0.06632984068619834,0.04235040741310926,13,12398,0.013233369556339542,0.0030346688290535584
Accessibility | HistoneChIP,a673,0.10678187105804682,0.052795623716500054,0.053986247341546764,6,6777,0.023761946525182952,0.004288595679584023
Accessibility | HistoneChIP,adipocyte,0.05531572147932214,0.051137170311524635,0.004178551167797508,12,8724,0.008464359356537098,0.0035077430628795746
Accessibility | HistoneChIP,adrenal gland,0.05002774044912151,0.05345674842639794,-0.003429007977276431,308,43473,0.005592907989626122,0.002700426493807032
Accessibility | HistoneChIP,ag04449,0.07017697393894196,0.06891035889458963,0.001266615044352326,1,2762,0.0,0.0026691538236030925
Accessibility | HistoneChIP,ag04450,0.040163152385503054,0.05024490260061746,-0.010081750215114406,4,5171,0.004487406182916911,0.002310718847860163
Accessibility | HistoneChIP,ag09309,0.10204175114631653,0.06642476296816144,0.03561698817815509,1,2762,0.0,0.0027615895824992243
Accessibility | HistoneChIP,ag09319,0.12436860799789429,0.07237650934976134,0.05199209864813295,1,2762,0.0,0.0032946247007740502
Accessibility | HistoneChIP,ag10803,0.08095888793468475,0.06162338922754479,0.019335498707139964,1,2762,0.0,0.0025885222473268073
Accessibility | HistoneChIP,ascending aorta,0.07743241817859764,0.06906144399185234,0.008370974186745303,11,10792,0.006182468534870626,0.00277759557029096
Accessibility | HistoneChIP,b cell,0.08637851763041764,0.05833344876319794,0.028045068867219698,63,22656,0.01761881834674125,0.0031819082649738157
Accessibility | HistoneChIP,be2c,0.16350381076335907,0.062215006281041846,0.10128880448231722,1,2762,0.0,0.0021579679922038232
Accessibility | HistoneChIP,bipolar neuron,0.0644452317367093,0.04091981476481829,0.023525416971891006,13,12398,0.015605763737276325,0.002295382676619688
Accessibility | HistoneChIP,bj,0.022659309829274814,0.054879665501578107,-0.03222035567230329,3,4368,0.0029863209207243086,0.0025720215553930344
Accessibility | HistoneChIP,body of pancreas,0.10799636813317193,0.06334961225832907,0.04464675587484286,64,20588,0.018766703689751987,0.003204901193132788
Accessibility | HistoneChIP,brain,0.022838104923248937,0.03832722365116971,-0.015489118727920772,154,35973,0.00390352511415758,0.0020672347333270565
Accessibility | HistoneChIP,breast epithelium,0.0945584064659973,0.06876545457080782,0.025792951895189473,6,6777,0.00516917279852425,0.003263351509222269
Accessibility | HistoneChIP,cardiac muscle cell,0.019011441618204117,0.04886879919986278,-0.02985735758165866,9,9186,0.008088786208398127,0.0026107982640796853
Accessibility | HistoneChIP,cardiac myoblast,-0.015404269099235535,0.03499639798340351,-0.050400667082639045,3,4368,0.00497365517743964,0.0021952173476519872
Accessibility | HistoneChIP,caudate nucleus,0.03903248245254732,0.05363957352040711,-0.01460709106785979,13,12398,0.0025355639642693287,0.0026989489217014787
Accessibility | HistoneChIP,cd14-positive monocyte,0.005326799211530562,0.0404773043001755,-0.03515050508864494,85,23310,0.002394423382965922,0.0019580431825218917
Accessibility | HistoneChIP,"cd4-positive, alpha-beta t cell",0.053077707920844354,0.05146751987810033,0.001610188042744022,90,24105,0.011671145873390035,0.0035072435326096553
Accessibility | HistoneChIP,"cd4-positive, cd25-positive, alpha-beta regulatory t cell",0.06445922706043347,0.04426884344638225,0.02019038361405122,20,11928,0.01406318311847875,0.0032940173882467106
Accessibility | HistoneChIP,"cd8-positive, alpha-beta t cell",0.044427122828232024,0.049546037892498604,-0.00511891506426658,95,24900,0.008659486919914434,0.003061872175140047
