file_id,biosample_type,tissue,assay,strand,experiment_target,species,dataset,modality_fine,modality_coarse,tissue_strict,expt_base,tissue_group
kai1,single_cell,A Cardiomyocyte,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,a cardiomyocyte,kai1,a cardiomyocyte
kai2,single_cell,Acinar,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,acinar,kai2,acinar
kai3,single_cell,Adipocyte,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,adipocyte,kai3,adipocyte
kai4,single_cell,Airway Goblet,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,airway goblet,kai4,airway goblet
kai5,single_cell,Alpha 1,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,alpha 1,kai5,alpha 1
kai6,single_cell,Alpha 2,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,alpha 2,kai6,alpha 2
kai7,single_cell,Alveolar Cap Endo,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,alveolar cap endo,kai7,alveolar cap endo
kai8,single_cell,Alveolar Type 1,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,alveolar type 1,kai8,alveolar type 1
kai10,single_cell,Alveolar Type 2,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,alveolar type 2,kai10,alveolar type 2
kai9,single_cell,Alveolar Type 2 (Immune),ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,alveolar type 2 (immune),kai9,alveolar type 2 (immune)
kai11,single_cell,Astrocyte 1,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,astrocyte 1,kai11,astrocyte 1
kai12,single_cell,Astrocyte 2,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,astrocyte 2,kai12,astrocyte 2
kai13,single_cell,BBB Endothelial,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,bbb endothelial,kai13,bbb endothelial
kai14,single_cell,Beta 1,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,beta 1,kai14,beta 1
kai15,single_cell,Beta 2,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,beta 2,kai15,beta 2
kai16,single_cell,Cardiac Fibroblast,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,cardiac fibroblast,kai16,heart_family
kai17,single_cell,Cardiac Pericyte 1,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,cardiac pericyte 1,kai17,cardiac pericyte 1
kai18,single_cell,Cardiac Pericyte 2,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,cardiac pericyte 2,kai18,cardiac pericyte 2
kai19,single_cell,Cardiac Pericyte 3,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,cardiac pericyte 3,kai19,cardiac pericyte 3
kai20,single_cell,Cardiac Pericyte 4,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,cardiac pericyte 4,kai20,cardiac pericyte 4
kai21,single_cell,Chief,ATAC-seq,,,human,catlas,ATAC-seq,Accessibility,chief,kai21,chief
