label,group,k_pcs,balanced_acc,balanced_acc_sd,permuted_baseline,n_classes,n_tracks,variant,space
modality_coarse,tissue_strict,2,0.7484613649502553,0.0073187237093410755,0.199090529944948,5,7362,raw,full
modality_coarse,tissue_strict,5,0.9252833014591916,0.013854292849468847,0.20096468535817213,5,7362,raw,full
modality_coarse,tissue_strict,10,0.9848411926895064,0.007944174316311082,0.1948512812682215,5,7362,raw,full
modality_coarse,tissue_strict,20,0.9895171511478029,0.004716685073812916,0.20130429792735147,5,7362,raw,full
modality_coarse,tissue_strict,50,0.9886674965728659,0.004466881401095765,0.19859751134569095,5,7362,raw,full
assay,tissue_strict,2,0.43796278906992325,0.009375743584768052,0.12441778745044271,8,7362,raw,full
assay,tissue_strict,5,0.7610850379911739,0.008379910103027886,0.12617741794824947,8,7362,raw,full
assay,tissue_strict,10,0.8889657861413935,0.023680451400435135,0.1226570721233545,8,7362,raw,full
assay,tissue_strict,20,0.9611942061337556,0.02451513631365195,0.12144311621798061,8,7362,raw,full
assay,tissue_strict,50,0.9697810687203964,0.024943301346340194,0.12340760820842651,8,7362,raw,full
tissue_strict,expt_base,2,0.01309426712786447,8.96367810148136e-05,0.006477487127078338,152,4822,raw,full
tissue_strict,expt_base,5,0.018989797854450798,0.00105266673736103,0.0065884611491034,152,4822,raw,full
tissue_strict,expt_base,10,0.05275929331494948,0.0004689619233093966,0.006550505683516355,152,4822,raw,full
tissue_strict,expt_base,20,0.15987329425819113,0.005640185090648823,0.006478471541224972,152,4822,raw,full
tissue_strict,expt_base,50,0.35583485989135344,0.011348904172986285,0.0063635805154626645,152,4822,raw,full
modality_coarse,tissue_strict,2,0.2,0.0,0.19884702186410388,5,7362,raw,modality_removed
modality_coarse,tissue_strict,5,0.19748402958021155,0.01973404797682596,0.20006071259435348,5,7362,raw,modality_removed
modality_coarse,tissue_strict,10,0.2415825592318496,0.028913264523242926,0.1980638073661174,5,7362,raw,modality_removed
modality_coarse,tissue_strict,20,0.20766058441043608,0.03849687226597976,0.19854520496022432,5,7362,raw,modality_removed
modality_coarse,tissue_strict,50,0.2245132579819913,0.03520765806200671,0.20137672833871828,5,7362,raw,modality_removed
tissue_strict,expt_base,2,0.006578947368421052,0.0,0.006488815594794616,152,4822,raw,modality_removed
tissue_strict,expt_base,5,0.019477252349485996,0.0012343030121261518,0.006439163161825401,152,4822,raw,modality_removed
tissue_strict,expt_base,10,0.05985862089824725,0.004377163799233683,0.006476395533728427,152,4822,raw,modality_removed
tissue_strict,expt_base,20,0.17625213476390453,0.0060760493473955525,0.006418652168726127,152,4822,raw,modality_removed
tissue_strict,expt_base,50,0.3547922369167341,0.01440445571855011,0.006882172690531013,152,4822,raw,modality_removed
modality_coarse,tissue_strict,2,0.7947284139714534,0.030410821228631427,0.19982823546800815,5,7362,gain,full
modality_coarse,tissue_strict,5,0.9466103869943687,0.006909971770326391,0.20051256744156426,5,7362,gain,full
modality_coarse,tissue_strict,10,0.9860443484866982,0.007576203808272798,0.19609370699089781,5,7362,gain,full
modality_coarse,tissue_strict,20,0.9897160400510868,0.0051407524030326335,0.20162638296721985,5,7362,gain,full
modality_coarse,tissue_strict,50,0.9908008917295094,0.003957141338803329,0.20127433530993222,5,7362,gain,full
assay,tissue_strict,2,0.48991994657525806,0.018913305711182535,0.12456346047375041,8,7362,gain,full
assay,tissue_strict,5,0.7973011696454395,0.015769496041520857,0.12615154303888496,8,7362,gain,full
assay,tissue_strict,10,0.8948425109442875,0.021124400390505657,0.1230386907686452,8,7362,gain,full
assay,tissue_strict,20,0.9575275495949238,0.027796051395451916,0.12233395317768074,8,7362,gain,full
assay,tissue_strict,50,0.9737688364075753,0.019841752834883875,0.12336054317261132,8,7362,gain,full
tissue_strict,expt_base,2,0.013144274154851813,8.415845311080047e-05,0.006477487127078338,152,4822,gain,full
tissue_strict,expt_base,5,0.017616402957685417,0.0011747491173367027,0.006625816354228392,152,4822,gain,full
tissue_strict,expt_base,10,0.048313872742587666,0.0027513941755845485,0.006574840567113105,152,4822,gain,full
tissue_strict,expt_base,20,0.15114140190408348,0.004271094983508971,0.006328442917872132,152,4822,gain,full
tissue_strict,expt_base,50,0.3207451771510311,0.007591537031173108,0.005256757829013201,152,4822,gain,full
modality_coarse,tissue_strict,2,0.2,0.0,0.19897066181223602,5,7362,gain,modality_removed
modality_coarse,tissue_strict,5,0.19761998514820947,0.027802823447334996,0.19927466197533517,5,7362,gain,modality_removed
modality_coarse,tissue_strict,10,0.2434289470085016,0.023691050735497675,0.19734868168979422,5,7362,gain,modality_removed
modality_coarse,tissue_strict,20,0.21922481528504328,0.030582866545319498,0.20019682598418997,5,7362,gain,modality_removed
modality_coarse,tissue_strict,50,0.237522743960836,0.03464018917171157,0.19879854202413258,5,7362,gain,modality_removed
tissue_strict,expt_base,2,0.006578947368421052,0.0,0.006488815594794616,152,4822,gain,modality_removed
tissue_strict,expt_base,5,0.015173433082939908,0.001099443817235208,0.006489538688478633,152,4822,gain,modality_removed
tissue_strict,expt_base,10,0.05629196587036006,0.005237001735329648,0.006501944843897052,152,4822,gain,modality_removed
tissue_strict,expt_base,20,0.16018463665528665,0.007059241478798037,0.006486374218435914,152,4822,gain,modality_removed
tissue_strict,expt_base,50,0.32741946317233006,0.01381216850636925,0.005445428040903365,152,4822,gain,modality_removed
