family,n_tracks,n_strict_labels_merged,n_modalities,strict_labels
skeletal_muscle_family,208,11,4,"gastrocnemius medialis, muscle of arm, muscle of back, muscle of leg, muscle of trunk, myotube, psoas muscle, skeletal muscle cell, skeletal muscle myoblast, skeletal muscle satellite cell, skeletal muscle tissue"
brain_family,179,13,3,"brain, caudate nucleus, cerebellar cortex, cerebellum, cingulate gyrus, dorsolateral prefrontal cortex, frontal cortex, layer of hippocampus, occipital lobe, parietal lobe, putamen, substantia nigra, temporal lobe"
heart_family,148,9,4,"cardiac fibroblast, cardiac muscle cell, cardiac myoblast, heart, heart left ventricle, heart right ventricle, left cardiac atrium, right atrium auricular region, right cardiac atrium"
colon_family,136,6,4,"colon, colonic mucosa, large intestine, mucosa of descending colon, sigmoid colon, transverse colon"
kidney_family,125,10,4,"kidney, kidney epithelial cell, left kidney, left renal cortex interstitium, left renal pelvis, renal cortex interstitium, renal pelvis, right kidney, right renal cortex interstitium, right renal pelvis"
lung_family,120,4,4,"left lung, lung, right lung, upper lobe of left lung"
liver_family,115,4,5,"hepatocyte, left lobe of liver, liver, right lobe of liver"
esophagus_family,88,4,4,"esophagus, esophagus muscularis mucosa, esophagus squamous epithelium, gastroesophageal sphincter"
stomach_family,87,2,4,"mucosa of stomach, stomach"
pancreas_family,83,3,4,"body of pancreas, endocrine pancreas, pancreas"
breast_family,57,3,5,"breast epithelium, luminal epithelial cell of mammary gland, mammary epithelial cell"
uterus_family,14,1,4,uterus
