pc,explained_variance_ratio
1,0.09377135795185856
2,0.07466651266629729
3,0.04232940073690369
4,0.032835021496524716
5,0.03250910135342362
6,0.016560614353936992
7,0.014656436424108698
8,0.012420304742630468
9,0.010502105600681743
10,0.00958260494844621
11,0.008413749434686965
12,0.00788565319603164
13,0.007645334697837454
14,0.006884030161249596
15,0.0065964798216914654
16,0.006002505947257357
17,0.005535953963994445
18,0.005457029856280126
19,0.005379255495543204
20,0.005223425152799107
21,0.005005564868178367
22,0.004950157055060778
23,0.004760647520747728
24,0.004728277955861384
25,0.004455127009505696
26,0.004346551510359456
27,0.0043392393080126
28,0.004282022677894883
29,0.004166938609887412
30,0.00401959468099743
31,0.0038289931989095444
32,0.0036602027604740427
33,0.003605202140397647
34,0.0034939404954523476
35,0.00339898002602366
36,0.003390473293664699
37,0.0033590529720467256
38,0.0033193069325629944
39,0.0032461576325329873
40,0.0031789671891877813
41,0.0031430732043546744
42,0.00310357820661814
43,0.00304504622596511
44,0.0030272465569045953
45,0.002989182255671101
46,0.002944471443505581
47,0.0028999312550370537
48,0.002834286634125516
49,0.002824074535068422
50,0.0027987286405943743
