file_id,assay,modality_coarse,tissue_strict,biosample_type,dataset,w_norm,w_gain_norm,bias,bias_effective
kai1,ATAC-seq,Accessibility,a cardiomyocyte,single_cell,catlas,2.6501139322571046,4.134189080827909,0.03135807067155838,2.053352647273966
kai2,ATAC-seq,Accessibility,acinar,single_cell,catlas,4.058497987040135,6.743628775215024,0.023711802437901497,3.451173340770573
kai3,ATAC-seq,Accessibility,adipocyte,single_cell,catlas,2.436920910963463,3.691755278995253,0.020729195326566696,1.986855307532835
kai4,ATAC-seq,Accessibility,airway goblet,single_cell,catlas,4.410941479387152,7.704040051478788,0.014778397046029568,3.2438008492949373
kai5,ATAC-seq,Accessibility,alpha 1,single_cell,catlas,3.8655670120073182,6.544113274471839,0.017178377136588097,2.828830325908899
kai6,ATAC-seq,Accessibility,alpha 2,single_cell,catlas,3.844440795015725,6.178145771478461,0.023535454645752907,3.4307181626916496
kai7,ATAC-seq,Accessibility,alveolar cap endo,single_cell,catlas,2.6801607682239927,4.484827884532819,0.006900978274643421,1.9344879611767867
kai8,ATAC-seq,Accessibility,alveolar type 1,single_cell,catlas,2.9740819025160987,4.816739435062852,0.013328677974641323,2.1404811567126965
kai10,ATAC-seq,Accessibility,alveolar type 2,single_cell,catlas,2.7399347216736376,4.343704457305246,0.01412899885326624,1.887144577367834
kai9,ATAC-seq,Accessibility,alveolar type 2 (immune),single_cell,catlas,2.2744482594113147,3.736938677112837,0.029755663126707077,1.7662633473263991
kai11,ATAC-seq,Accessibility,astrocyte 1,single_cell,catlas,3.397857085054256,5.438067229852534,0.005819878540933132,1.8950984070254575
kai12,ATAC-seq,Accessibility,astrocyte 2,single_cell,catlas,2.169792444606205,3.2435700932700513,-0.011889456771314144,0.9753587451963293
kai13,ATAC-seq,Accessibility,bbb endothelial,single_cell,catlas,2.6108961548209506,4.348977289941099,-0.027012668550014496,1.8563105894314118
kai14,ATAC-seq,Accessibility,beta 1,single_cell,catlas,3.970597707361709,6.757860893500187,0.021805763244628906,2.810162361220857
kai15,ATAC-seq,Accessibility,beta 2,single_cell,catlas,4.234542267727226,6.971685402437589,0.02154669538140297,3.1309220138485827
kai16,ATAC-seq,Accessibility,cardiac fibroblast,single_cell,catlas,2.7377334104403523,4.3327791628019,0.028245534747838974,2.2526022953836957
kai17,ATAC-seq,Accessibility,cardiac pericyte 1,single_cell,catlas,3.0521493761313447,4.951728292409658,0.015345853753387928,2.3523271223118725
kai18,ATAC-seq,Accessibility,cardiac pericyte 2,single_cell,catlas,2.753145099857667,4.4729362377928155,0.018149565905332565,2.324661120832667
kai19,ATAC-seq,Accessibility,cardiac pericyte 3,single_cell,catlas,2.7106489766479966,4.60818871103628,0.012955720536410809,2.222290925747301
kai20,ATAC-seq,Accessibility,cardiac pericyte 4,single_cell,catlas,2.425410810137611,3.903374763567487,0.013530605472624302,1.9893240997858492
kai21,ATAC-seq,Accessibility,chief,single_cell,catlas,3.8617338472231975,6.421515353110266,0.03511994704604149,2.9931505907721663
kai22,ATAC-seq,Accessibility,cilliated,single_cell,catlas,2.697122802181042,4.516963927023834,0.0198818389326334,2.1711466733416254
kai23,ATAC-seq,Accessibility,club,single_cell,catlas,2.856057342840811,4.695116656286338,0.015361888334155083,2.1389842461814004
kai24,ATAC-seq,Accessibility,colon epithelial 1,single_cell,catlas,3.3238690223693053,5.2571347146740575,0.03406960144639015,1.9293645829553896
kai25,ATAC-seq,Accessibility,colon epithelial 2,single_cell,catlas,3.927714575165517,6.252491635105622,0.01458103395998478,2.23594794839471
kai26,ATAC-seq,Accessibility,colon epithelial 3,single_cell,catlas,3.2228059353506993,5.22363694931942,0.009785044938325882,1.9755941879476806
kai27,ATAC-seq,Accessibility,colon goblet,single_cell,catlas,3.5077172563417767,5.674650248524045,0.02408665604889393,2.0842802976522803
kai28,ATAC-seq,Accessibility,cortical epithelial,single_cell,catlas,3.852927508810581,6.238553825110368,0.024348469451069832,3.2163615735957825
kai29,ATAC-seq,Accessibility,delta+gamma,single_cell,catlas,3.8224290625505093,6.503064410323012,0.023841341957449913,2.749099525090636
kai30,ATAC-seq,Accessibility,ductal,single_cell,catlas,3.493937977684801,5.871400806883628,0.02434205636382103,2.850319589157989
kai31,ATAC-seq,Accessibility,endocardial,single_cell,catlas,3.052208129953751,5.106622875337319,0.010930826887488365,2.3180437388966686
kai32,ATAC-seq,Accessibility,endothelial exocrine,single_cell,catlas,3.9276224615302158,6.78142181644409,-0.010211430490016937,2.9004618388151107
kai33,ATAC-seq,Accessibility,endothelial general 1,single_cell,catlas,2.2202822377376723,3.584642589226196,0.021389132365584373,1.8991329341965653
kai34,ATAC-seq,Accessibility,endothelial general 2,single_cell,catlas,2.778808383234527,4.600363669276621,0.015532347373664379,2.3828700497372832
kai35,ATAC-seq,Accessibility,endothelial general 3,single_cell,catlas,3.5818008024894143,6.125212143406031,0.01321385893970728,2.725910484192015
kai36,ATAC-seq,Accessibility,endothelial myocardial,single_cell,catlas,2.795308892531881,4.603813494334732,0.010008169338107109,2.08166562231541
kai37,ATAC-seq,Accessibility,enteric neuron,single_cell,catlas,2.4420858314854907,3.9623920386237304,0.003458305960521102,2.0849173380879833
kai38,ATAC-seq,Accessibility,enterochromaffin,single_cell,catlas,2.846853078455671,4.720211578367229,0.005365594290196896,2.0439745742359423
kai39,ATAC-seq,Accessibility,enterocyte,single_cell,catlas,3.0029070924270735,4.799885164257704,0.037547074258327484,1.668506900433608
kai40,ATAC-seq,Accessibility,esophageal epithelial,single_cell,catlas,3.613427640656757,5.505537442176287,0.031077789142727852,2.736556479500513
kai41,ATAC-seq,Accessibility,fasciculata,single_cell,catlas,3.852839632230655,6.347636035663067,0.02037433534860611,3.3216474439605386
kai42,ATAC-seq,Accessibility,fetal a cardiomyocyte,single_cell,catlas,2.274083831440137,3.5706625453809204,0.03791557997465134,2.0804917089313486
kai43,ATAC-seq,Accessibility,fetal acinar 1,single_cell,catlas,2.707844016363849,4.075278468731282,0.02080145850777626,2.6568891678786684
kai44,ATAC-seq,Accessibility,fetal acinar 2,single_cell,catlas,2.064906914273292,3.100335081758489,0.04908338934183121,2.0413168894120206
kai45,ATAC-seq,Accessibility,fetal adrenal cortical,single_cell,catlas,2.352312962493057,3.435019228095809,0.021557264029979706,2.2105515942060885
kai46,ATAC-seq,Accessibility,fetal adrenal neuron,single_cell,catlas,2.164330258094708,3.2722177738302625,0.03656931594014168,2.0720889159264555
kai47,ATAC-seq,Accessibility,fetal alveolar cap endo,single_cell,catlas,2.2782330924054865,3.5973775143177,0.01856641285121441,2.016348190551516
kai48,ATAC-seq,Accessibility,fetal alveolar epithelial 1,single_cell,catlas,2.409505228864366,3.8081563306999597,0.03731507435441017,2.0885031382624755
kai49,ATAC-seq,Accessibility,fetal alveolar epithelial 2,single_cell,catlas,2.725653389401898,4.294458913266063,-0.024318402633070946,1.894248865602922
kai50,ATAC-seq,Accessibility,fetal astrocyte 1,single_cell,catlas,2.3764907932209742,3.721208745304503,0.030450968071818352,2.0222838561940306
kai51,ATAC-seq,Accessibility,fetal astrocyte 2,single_cell,catlas,2.604511726978385,4.093205776011451,0.021903833374381065,2.1746712847997958
kai52,ATAC-seq,Accessibility,fetal astrocyte 3,single_cell,catlas,2.6022910632336225,4.110932964981664,0.02025522291660309,1.8651967040257436
