,k562,hepg2,gm12878,hek293,mcf-7,h1,stomach,a549,liver,adrenal gland,spleen,dorsolateral prefrontal cortex,imr-90,lung
k562,0.1816018521785736,0.09893211722373962,0.10333483666181564,0.11493261903524399,0.10847043991088867,0.07250776886940002,0.08247215300798416,0.09930814057588577,0.07898718118667603,0.07703997939825058,0.07039430737495422,0.0484178327023983,0.06282033771276474,0.06264402717351913
hepg2,0.09893213212490082,0.21552132070064545,0.10766931623220444,0.11016906797885895,0.11537656933069229,0.09069135040044785,0.09153085947036743,0.12377555668354034,0.08833634108304977,0.08336739987134933,0.06931868940591812,0.043636441230773926,0.06787072867155075,0.06660861521959305
gm12878,0.10333483666181564,0.10766931623220444,0.1922401487827301,0.1122223436832428,0.11110419034957886,0.0873083770275116,0.08852378278970718,0.11924547702074051,0.09064482152462006,0.0840408131480217,0.08045371621847153,0.05470004305243492,0.07711435854434967,0.07008359581232071
hek293,0.1149326041340828,0.11016906797885895,0.1122223436832428,0.45061537623405457,0.16259180009365082,0.06682726740837097,0.09492084383964539,0.1112927719950676,0.08217925578355789,0.0732719823718071,0.073033906519413,0.05114339292049408,0.05827130749821663,0.060002557933330536
mcf-7,0.10847044736146927,0.11537657678127289,0.11110419780015945,0.16259180009365082,0.25166070461273193,0.06885507702827454,0.09508895874023438,0.12688089907169342,0.0846346840262413,0.07716056704521179,0.07454676181077957,0.04716486483812332,0.05837579444050789,0.0658084824681282
h1,0.07250777631998062,0.09069135040044785,0.0873083770275116,0.06682726740837097,0.06885507702827454,0.12517276406288147,0.07134686410427094,0.0991755872964859,0.07054591178894043,0.07046880573034286,0.060615066438913345,0.04795685410499573,0.0714690312743187,0.059986017644405365
stomach,0.08247216045856476,0.09153085947036743,0.08852378278970718,0.09492085129022598,0.09508895874023438,0.07134686410427094,0.14769193530082703,0.09406987577676773,0.08099577575922012,0.10615094751119614,0.10031983256340027,0.06883127242326736,0.06825945526361465,0.10319260507822037
a549,0.09930814057588577,0.12377555668354034,0.11924547702074051,0.1112927794456482,0.12688089907169342,0.0991755947470665,0.09406987577676773,0.19588610529899597,0.09278061240911484,0.08755846321582794,0.07278740406036377,0.04931583255529404,0.08909054100513458,0.07511887699365616
liver,0.07898717373609543,0.08833633363246918,0.09064482897520065,0.0821792483329773,0.0846346840262413,0.07054591178894043,0.08099577575922012,0.09278061240911484,0.17883510887622833,0.0866958275437355,0.0698273703455925,0.05022145062685013,0.06110556796193123,0.07205048203468323
adrenal gland,0.07703997939825058,0.08336739987134933,0.0840408056974411,0.0732719823718071,0.07716057449579239,0.07046880573034286,0.10615094006061554,0.08755847066640854,0.0866958349943161,0.1340073049068451,0.10348710417747498,0.08161277323961258,0.06723211705684662,0.08927171677350998
spleen,0.07039429992437363,0.06931868940591812,0.08045371621847153,0.073033906519413,0.07454676181077957,0.06061506271362305,0.10031983256340027,0.07278740406036377,0.0698273703455925,0.10348710417747498,0.13109490275382996,0.0807541236281395,0.05831161513924599,0.08539772033691406
dorsolateral prefrontal cortex,0.0484178327023983,0.043636441230773926,0.05470004305243492,0.05114338546991348,0.04716486483812332,0.04795685410499573,0.06883127242326736,0.04931583255529404,0.05022145062685013,0.08161277323961258,0.0807541236281395,0.30947521328926086,0.04504098743200302,0.056565698236227036
imr-90,0.06282033026218414,0.06787072867155075,0.07711435854434967,0.05827131122350693,0.05837579071521759,0.0714690312743187,0.06825944781303406,0.08909054100513458,0.06110556796193123,0.06723211705684662,0.058311618864536285,0.04504098743200302,0.1492854207754135,0.060979343950748444
lung,0.06264403462409973,0.06660861521959305,0.07008359581232071,0.060002561658620834,0.06580847501754761,0.059986017644405365,0.10319260507822037,0.07511887699365616,0.07205047458410263,0.08927171677350998,0.08539773523807526,0.056565698236227036,0.060979343950748444,0.11596714705228806
